date,campaign,channel,spend,impressions,clicks,conversions,revenue
2025-08-23,New Customer Acquisition,Display,217.99,118337,502,4,257.18
2025-02-23,Summer Sale Blitz,LinkedIn,380.33,60541,449,10,1033.64
2025-08-17,Brand Awareness Push,Display,1269.05,228490,1018,16,2045.29
2025-08-15,Content Sprint,YouTube,3176.78,161607,2693,50,9613.3
2025-05-18,LinkedIn ABM Campaign,Meta Ads,129.67,8037,163,6,401.8
2025-12-21,Display Remarketing,Google Ads,1895.57,47367,1918,93,8876.57
2025-12-13,LinkedIn ABM Campaign,Display,414.61,74879,489,8,727.65
2025-08-14,Content Sprint,Display,1014.69,171186,1181,19,1428.21
2025-02-06,Display Remarketing,Display,974.38,165474,993,15,2006.75
2025-07-18,Retarget Cart Abandon,LinkedIn,1489.35,156879,1335,57,4927.76
2025-03-13,LinkedIn ABM Campaign,Display,50.0,5954,27,0,88.68
2025-10-08,Content Sprint,Display,446.8,223816,1070,20,802.73
2025-12-11,Lookalike Scale,SEO,12956.33,237912,10748,692,63148.08
2025-02-22,Display Remarketing,Google Ads,2682.48,155478,2993,202,11759.23
2025-06-29,LinkedIn ABM Campaign,YouTube,3256.6,194359,2462,23,12258.73
2025-11-26,LinkedIn ABM Campaign,SEO,12848.14,219981,12013,1194,72173.82
2025-07-24,LinkedIn ABM Campaign,Email,5349.24,88937,5763,723,34378.57
2025-08-19,Content Sprint,YouTube,2006.09,132639,1478,22,4664.48
2025-09-19,New Customer Acquisition,Email,16500.06,191196,12031,1073,131152.39
2025-10-19,Summer Sale Blitz,SEO,6603.6,167822,5447,587,24190.04
2025-06-15,Loyalty Win-back,Google Ads,5895.73,232102,8457,264,36287.42
2025-05-25,Loyalty Win-back,Email,7823.97,101550,7625,473,56533.62
2025-07-29,LinkedIn ABM Campaign,Display,558.84,119481,720,9,772.72
2025-07-02,Retarget Cart Abandon,Meta Ads,2056.17,120675,2045,115,8333.99
2025-02-26,Summer Sale Blitz,Meta Ads,3653.34,147757,2982,159,11229.24
2025-07-06,Retarget Cart Abandon,YouTube,4556.48,237418,3277,65,15031.18
2025-10-27,Lookalike Scale,Display,50.0,12876,60,1,78.59
2025-10-24,Lookalike Scale,Display,839.13,178841,1217,17,1420.8
2025-12-21,Summer Sale Blitz,Display,128.5,65577,172,3,181.51
2025-01-05,Display Remarketing,LinkedIn,792.68,141339,1214,40,1770.26
2025-09-28,New Customer Acquisition,Meta Ads,1646.52,197253,4265,153,4434.8
2025-07-22,Summer Sale Blitz,Meta Ads,1362.39,86852,1612,72,5545.99
2025-07-29,Loyalty Win-back,Google Ads,736.85,27811,1052,82,3048.71
2025-03-17,Holiday Flash Promo,Meta Ads,749.0,50732,597,22,1727.73
2025-01-30,Lookalike Scale,Google Ads,7860.34,221109,6830,553,38828.55
2025-08-27,Holiday Flash Promo,YouTube,5505.59,230181,3913,56,16639.55
2025-09-04,Summer Sale Blitz,Google Ads,2406.09,211074,2042,131,13181.21
2025-10-03,Content Sprint,Meta Ads,987.62,91907,1861,75,3698.05
2025-02-07,Summer Sale Blitz,Display,1114.61,161258,1066,9,1651.15
2025-12-08,Display Remarketing,Email,8954.49,99426,8421,460,74698.34
2025-07-31,Lookalike Scale,Google Ads,6072.64,158557,4848,222,37264.08
2025-01-23,Display Remarketing,Email,8459.92,150985,6936,308,63424.91
2025-03-02,Summer Sale Blitz,SEO,661.76,16016,779,59,3654.89
2025-08-06,Brand Awareness Push,Display,322.44,111478,646,10,444.25
2025-12-24,Loyalty Win-back,SEO,8877.22,186073,9324,564,64740.32
2025-06-14,Lookalike Scale,SEO,5719.07,118385,6028,482,28242.09
2025-05-16,Content Sprint,YouTube,105.34,16187,200,4,265.1
2025-08-03,New Customer Acquisition,LinkedIn,454.23,61975,611,18,964.41
2025-10-25,Display Remarketing,LinkedIn,532.49,83605,732,17,1450.66
2025-06-01,Content Sprint,SEO,3080.57,133694,6267,368,19543.81
2025-07-23,Brand Awareness Push,Email,4137.69,233024,13882,1589,18593.56
2025-03-21,Retarget Cart Abandon,SEO,1448.17,72269,2651,160,5532.8
2025-07-20,LinkedIn ABM Campaign,LinkedIn,1215.84,85623,933,17,2316.2
2025-02-16,Retarget Cart Abandon,Email,3347.84,40903,3464,410,16957.21
2025-12-22,Display Remarketing,LinkedIn,451.93,54983,371,12,1134.67
2025-12-30,Display Remarketing,LinkedIn,1127.69,97885,843,32,2346.72
2025-09-15,New Customer Acquisition,Email,1258.58,41550,2035,194,10036.34
2025-11-08,New Customer Acquisition,Meta Ads,120.95,13445,224,12,349.48
2025-01-22,Retarget Cart Abandon,Email,15054.25,149498,10042,646,69864.45
2025-03-17,Loyalty Win-back,Email,4202.7,142968,8426,770,20461.75
2025-03-31,Content Sprint,SEO,70.52,7740,139,6,411.0
2025-06-02,Retarget Cart Abandon,Display,269.57,84479,501,9,475.44
2025-02-24,Display Remarketing,Meta Ads,1923.21,228778,4405,140,5171.19
2025-12-20,Loyalty Win-back,Email,1284.33,29686,2143,174,7070.29
2025-07-29,Loyalty Win-back,Meta Ads,1129.38,49912,907,32,3515.11
2025-10-27,Retarget Cart Abandon,LinkedIn,1243.42,165206,1306,57,3197.5
2025-02-06,Holiday Flash Promo,Display,1137.26,153531,1119,12,1901.24
2025-08-11,Content Sprint,Meta Ads,3522.14,198761,3468,169,7969.68
2025-08-28,Retarget Cart Abandon,Display,371.4,56471,343,6,268.65
2025-09-30,Summer Sale Blitz,Meta Ads,285.06,25697,485,15,888.01
2025-04-17,LinkedIn ABM Campaign,Meta Ads,5459.55,222878,4946,276,20882.49
2025-02-03,Lookalike Scale,Meta Ads,1026.91,84909,1651,24,3521.64
2025-02-21,LinkedIn ABM Campaign,LinkedIn,1042.18,70398,942,19,2132.91
2025-04-03,LinkedIn ABM Campaign,LinkedIn,394.22,61375,747,18,1140.66
2025-08-20,New Customer Acquisition,Email,5465.86,98031,4855,399,24775.29
2025-06-18,LinkedIn ABM Campaign,Meta Ads,1390.74,162418,2890,182,4142.62
2025-10-13,Content Sprint,Google Ads,3738.94,155578,4698,296,22913.61
2025-06-11,Retarget Cart Abandon,Display,227.37,64896,319,7,275.75
2025-09-25,Summer Sale Blitz,Meta Ads,2562.8,114872,2210,116,5485.27
2025-11-27,Content Sprint,Google Ads,868.9,87684,1510,114,6139.11
2025-08-29,LinkedIn ABM Campaign,Meta Ads,3139.37,196325,4245,211,11789.77
2025-12-02,LinkedIn ABM Campaign,Display,635.0,219331,950,6,1097.67
2025-01-31,LinkedIn ABM Campaign,Meta Ads,2131.77,100617,2119,100,6969.25
2025-08-22,Summer Sale Blitz,LinkedIn,1538.81,170624,1063,34,3795.9
2025-04-04,LinkedIn ABM Campaign,Email,5449.43,179234,10208,1073,30460.21
2025-04-09,Loyalty Win-back,Display,368.48,71844,402,6,706.99
2025-03-12,Brand Awareness Push,Email,5095.19,137725,7836,556,28592.19
2025-02-05,Content Sprint,YouTube,173.77,15524,281,5,474.7
2025-05-18,Summer Sale Blitz,Google Ads,2987.64,79317,2990,272,14936.53
2025-09-26,Summer Sale Blitz,Google Ads,7528.4,179370,8031,378,27038.59
2025-02-15,LinkedIn ABM Campaign,Display,205.38,50603,182,2,377.2
2025-12-25,Retarget Cart Abandon,Display,1516.57,241269,1252,23,2881.42
2025-03-10,Lookalike Scale,Google Ads,542.7,23776,579,46,2913.03
2025-09-05,LinkedIn ABM Campaign,YouTube,210.16,14844,248,6,701.9
2025-04-04,New Customer Acquisition,Display,622.02,125420,499,7,1150.39
2025-02-22,Lookalike Scale,Meta Ads,1194.15,75638,1323,50,3948.82
2025-05-22,Brand Awareness Push,Display,941.96,140977,801,12,1631.59
2025-12-01,Holiday Flash Promo,Display,440.09,164101,957,11,630.0
2025-02-04,Content Sprint,SEO,3261.57,91167,4733,375,28291.85
2025-01-05,New Customer Acquisition,Email,4697.44,73744,3851,336,39473.21
2025-02-20,Holiday Flash Promo,Meta Ads,2694.08,202919,3292,145,7054.68
2025-02-10,Retarget Cart Abandon,Meta Ads,2200.67,131984,1762,58,7579.05
2025-05-10,Holiday Flash Promo,Meta Ads,1161.85,83909,1912,59,2745.68
2025-07-23,Brand Awareness Push,SEO,6505.99,89656,4573,323,41196.8
2025-04-09,Loyalty Win-back,LinkedIn,645.9,124799,1229,27,1725.3
2025-01-16,Summer Sale Blitz,Meta Ads,258.15,24432,387,12,572.66
2025-03-10,Loyalty Win-back,YouTube,2052.71,192035,1894,36,5707.07
2025-09-17,Lookalike Scale,Email,5817.11,177509,8818,910,39160.3
2025-08-31,Display Remarketing,Email,741.68,13234,829,83,4541.84
2025-06-03,Summer Sale Blitz,Google Ads,853.74,27092,1155,77,5928.99
2025-06-27,Summer Sale Blitz,Meta Ads,1589.37,241742,5184,121,4343.71
2025-04-27,Display Remarketing,YouTube,957.89,67705,1093,13,2180.48
2025-12-07,New Customer Acquisition,Google Ads,4607.61,234542,9062,692,17022.68
2025-02-07,Summer Sale Blitz,SEO,1260.31,25961,1133,84,5657.13
2025-08-09,Brand Awareness Push,YouTube,1856.94,212484,3112,80,6425.67
2025-04-11,Content Sprint,YouTube,100.75,11419,133,3,298.45
2025-04-17,Loyalty Win-back,Display,485.82,132588,930,12,771.26
2025-09-03,New Customer Acquisition,YouTube,1486.5,199903,3555,65,2658.23
2025-01-15,Summer Sale Blitz,SEO,1297.6,85591,1658,93,8084.17
2025-09-01,New Customer Acquisition,Meta Ads,771.89,82925,1419,71,2198.49
2025-09-11,LinkedIn ABM Campaign,Email,4755.16,163615,10147,711,33139.95
2025-03-01,LinkedIn ABM Campaign,Google Ads,3426.11,129275,3910,243,19535.14
2025-04-15,Retarget Cart Abandon,Google Ads,9372.67,217237,8338,560,40994.69
2025-12-11,Lookalike Scale,SEO,6557.55,112621,4416,319,34265.44
2025-09-28,New Customer Acquisition,Meta Ads,5450.44,232097,5817,139,19528.24
2025-11-01,Display Remarketing,YouTube,1661.11,133238,2138,43,4835.52
2025-07-04,Holiday Flash Promo,SEO,471.28,29698,1096,77,2793.29
2025-03-26,Display Remarketing,Email,12229.74,156907,8308,791,53558.35
2025-08-29,Retarget Cart Abandon,Meta Ads,2334.02,103640,2273,103,7843.71
2025-10-27,Holiday Flash Promo,LinkedIn,964.22,142819,1174,11,1842.24
2025-04-28,Display Remarketing,YouTube,50.0,6735,41,0,107.83
2025-11-17,Retarget Cart Abandon,Google Ads,3505.67,87484,3199,197,11855.76
2025-07-24,Content Sprint,Display,50.0,5243,22,0,75.55
2025-01-08,Summer Sale Blitz,Google Ads,6483.95,199002,9943,496,30977.16
2025-10-17,Summer Sale Blitz,Google Ads,2740.92,156830,4651,204,10401.22
2025-07-21,Display Remarketing,Display,357.59,105328,407,5,617.8
2025-07-25,Brand Awareness Push,LinkedIn,1078.35,113326,1288,23,3453.03
2025-03-18,Content Sprint,Display,247.61,127101,389,5,406.43
2025-10-25,Brand Awareness Push,Email,9395.0,180678,10651,876,72559.55
2025-01-01,Content Sprint,LinkedIn,2981.5,162993,1857,42,7700.61
2025-04-12,Lookalike Scale,YouTube,5978.46,239972,4025,48,17709.09
2025-08-11,New Customer Acquisition,SEO,1831.2,47181,1619,116,13808.79
2025-05-20,Holiday Flash Promo,Email,7438.26,128961,6781,692,55143.21
2025-01-18,Loyalty Win-back,YouTube,109.49,9040,76,1,410.35
2025-08-05,New Customer Acquisition,Email,2535.7,42838,1898,143,11279.62
2025-05-01,Content Sprint,Google Ads,6456.98,120383,4595,417,39802.33
2025-07-21,Brand Awareness Push,Email,4395.96,89289,4786,487,30584.1
2025-08-16,Display Remarketing,YouTube,1233.18,131008,2355,47,4273.41
2025-10-24,Holiday Flash Promo,LinkedIn,2786.37,215879,2468,87,6369.96
2025-04-23,New Customer Acquisition,Meta Ads,1710.5,114204,2229,94,6366.75
2025-01-27,Summer Sale Blitz,Meta Ads,6812.4,192606,4646,174,16090.21
2025-05-23,Retarget Cart Abandon,SEO,3639.86,123632,4839,376,21662.86
2025-02-01,Brand Awareness Push,YouTube,177.12,15877,282,6,507.47
2025-07-02,Loyalty Win-back,Google Ads,970.85,58911,1638,99,3802.2
2025-03-24,LinkedIn ABM Campaign,Meta Ads,2156.77,165731,2328,57,6436.25
2025-05-14,LinkedIn ABM Campaign,YouTube,511.38,44135,690,9,1739.0
2025-11-01,Display Remarketing,Meta Ads,4001.88,168768,3856,148,10795.4
2025-02-08,Holiday Flash Promo,Meta Ads,1662.41,241459,4106,187,6219.01
2025-03-21,Brand Awareness Push,Google Ads,7749.92,202113,6437,365,31051.69
2025-01-19,Content Sprint,YouTube,2586.26,190190,1826,34,8576.2
2025-03-18,Loyalty Win-back,SEO,2435.39,80766,4015,332,12960.65
2025-01-21,Brand Awareness Push,YouTube,579.14,57105,867,18,1896.17
2025-03-19,LinkedIn ABM Campaign,LinkedIn,400.28,36504,323,10,999.72
2025-05-07,Loyalty Win-back,Google Ads,5511.31,198715,6672,535,24461.78
2025-09-27,Summer Sale Blitz,Google Ads,801.41,46895,1366,45,5706.92
2025-12-14,Content Sprint,LinkedIn,518.19,155708,1425,51,1439.29
2025-10-02,Loyalty Win-back,Meta Ads,1352.58,108778,1847,63,4304.36
2025-03-31,Display Remarketing,Google Ads,4721.36,145643,6427,318,24150.43
2025-06-10,New Customer Acquisition,Display,1641.01,184877,1167,17,2139.31
2025-10-31,LinkedIn ABM Campaign,SEO,7832.25,183915,8910,809,40843.89
2025-11-07,Retarget Cart Abandon,Email,4265.14,110683,8564,725,35248.49
2025-10-04,Lookalike Scale,Google Ads,4959.21,234388,7423,280,30314.19
2025-04-04,Display Remarketing,Meta Ads,2576.11,182560,4079,197,8541.66
2025-07-06,Summer Sale Blitz,Display,70.73,27083,104,1,103.45
2025-01-31,Holiday Flash Promo,SEO,1913.19,130325,3230,226,10614.04
2025-04-12,Summer Sale Blitz,Meta Ads,2125.79,232322,5570,115,5209.74
2025-01-22,Display Remarketing,Display,1061.67,198557,1012,12,1546.37
2025-12-17,Display Remarketing,LinkedIn,1552.37,171767,1077,35,4260.96
2025-10-04,Retarget Cart Abandon,Display,428.32,240649,805,15,662.61
2025-12-05,Retarget Cart Abandon,Email,7329.95,240255,13758,855,50193.49
2025-01-09,New Customer Acquisition,Google Ads,1755.89,42612,1665,96,9554.62
2025-04-10,Retarget Cart Abandon,Google Ads,112.4,8817,241,11,588.65
2025-09-01,Holiday Flash Promo,YouTube,1558.15,159248,2617,64,5772.1
2025-01-23,Holiday Flash Promo,Meta Ads,2248.88,110566,2485,105,10938.74
2025-10-08,Display Remarketing,Email,8973.86,158799,8182,574,50362.56
2025-04-30,New Customer Acquisition,Google Ads,5003.27,234223,4562,316,16010.03
2025-04-16,Summer Sale Blitz,Meta Ads,1859.1,112764,3137,116,6636.66
2025-08-23,Lookalike Scale,SEO,4169.99,164893,6424,306,20517.81
2025-06-04,Lookalike Scale,YouTube,824.4,73035,1173,23,2604.08
2025-06-09,Content Sprint,Meta Ads,3566.2,178029,3327,88,13466.3
2025-12-13,Lookalike Scale,Meta Ads,1162.47,84410,1976,77,2268.56
2025-03-16,Retarget Cart Abandon,Display,89.74,32322,235,2,194.74
2025-01-08,New Customer Acquisition,Meta Ads,2837.86,107553,3133,113,8496.09
2025-12-27,Summer Sale Blitz,Email,14193.37,213100,14952,1181,84115.4
2025-07-10,New Customer Acquisition,Email,2457.76,231531,4615,292,16467.45
2025-02-22,Holiday Flash Promo,YouTube,3282.02,203521,2474,46,9398.3
2025-07-19,Content Sprint,YouTube,2360.97,205871,2665,66,6558.26
2025-04-22,Display Remarketing,Meta Ads,2077.13,132081,3366,142,5193.15
2025-05-07,Brand Awareness Push,Meta Ads,4672.97,231121,3913,212,14086.25
2025-11-29,Content Sprint,Google Ads,2661.22,135199,3007,176,12993.56
2025-05-06,Brand Awareness Push,YouTube,1927.21,164029,3869,94,4759.5
2025-08-11,New Customer Acquisition,LinkedIn,439.56,48564,447,7,968.82
2025-06-05,LinkedIn ABM Campaign,Google Ads,11193.35,239961,9615,406,41987.91
2025-12-12,Content Sprint,Google Ads,1166.8,30970,1135,77,5051.62
2025-05-06,LinkedIn ABM Campaign,SEO,1614.2,27137,1224,61,9233.38
2025-07-10,Holiday Flash Promo,SEO,1099.52,53260,2360,216,4772.39
2025-08-26,LinkedIn ABM Campaign,SEO,512.47,26398,885,43,2182.68
2025-03-22,Retarget Cart Abandon,YouTube,776.15,119354,1099,31,2539.98
2025-04-29,Summer Sale Blitz,Display,286.5,63240,297,2,362.33
2025-09-19,Brand Awareness Push,Email,3770.99,92493,7178,922,12920.21
2025-02-25,Display Remarketing,Display,243.68,44586,186,2,365.24
2025-07-26,Brand Awareness Push,LinkedIn,1475.06,139324,1257,46,2524.67
2025-03-12,Display Remarketing,SEO,4601.3,82145,4003,304,25883.88
2025-06-25,Content Sprint,Email,12131.08,226770,13376,1466,62609.71
2025-04-25,New Customer Acquisition,Email,9241.5,212474,12167,1291,56837.83
2025-12-04,Holiday Flash Promo,Email,7348.88,122737,7000,502,38638.68
2025-09-02,Retarget Cart Abandon,Meta Ads,1845.45,139055,2315,122,5200.16
2025-05-25,Display Remarketing,Google Ads,4320.44,201019,5134,227,14252.45
2025-10-16,Content Sprint,Google Ads,2819.18,73922,3582,179,12845.07
2025-06-03,Loyalty Win-back,Email,2603.16,47830,3001,224,13538.16
2025-06-14,Retarget Cart Abandon,SEO,3327.32,95520,4347,395,14251.44
2025-07-16,Summer Sale Blitz,LinkedIn,2026.89,156170,1617,40,4232.53
2025-03-10,Retarget Cart Abandon,YouTube,1368.13,58721,1006,21,3723.55
2025-04-18,Lookalike Scale,YouTube,943.13,166395,1841,47,3110.85
2025-09-23,Lookalike Scale,Google Ads,9486.17,229254,7574,625,45580.85
2025-10-08,LinkedIn ABM Campaign,LinkedIn,304.09,70629,420,7,635.84
2025-10-19,Lookalike Scale,YouTube,2634.41,222324,3265,45,8548.85
2025-10-19,Lookalike Scale,YouTube,3801.99,227611,4938,98,11229.04
2025-01-08,Retarget Cart Abandon,LinkedIn,541.4,128246,737,16,1152.22
2025-01-13,Summer Sale Blitz,Display,653.84,98834,604,8,1165.84
2025-06-01,Loyalty Win-back,Google Ads,2077.81,66246,2034,148,9777.18
2025-11-28,Summer Sale Blitz,LinkedIn,112.55,22416,168,4,225.6
2025-05-25,Retarget Cart Abandon,LinkedIn,558.58,161495,648,18,1720.22
2025-12-18,Brand Awareness Push,SEO,2145.26,178175,2534,156,14150.76
2025-12-26,Loyalty Win-back,YouTube,2153.45,165226,2098,52,4101.41
2025-12-02,Loyalty Win-back,YouTube,3325.8,202674,4452,90,10709.52
2025-09-22,Loyalty Win-back,LinkedIn,743.87,140327,1521,50,1846.32
2025-03-05,New Customer Acquisition,Email,966.13,30078,1591,151,7749.59
2025-10-02,Brand Awareness Push,SEO,2683.19,51564,2409,141,12725.14
2025-06-14,Brand Awareness Push,Google Ads,384.75,32803,918,44,1477.45
2025-09-07,Display Remarketing,Meta Ads,579.02,49523,1017,50,1444.14
2025-08-09,New Customer Acquisition,Email,1100.17,48232,3042,239,8707.58
2025-10-10,Holiday Flash Promo,LinkedIn,311.04,21454,207,5,689.67
2025-10-30,Retarget Cart Abandon,SEO,5865.08,121689,5106,535,29163.57
2025-03-13,Content Sprint,SEO,5237.22,201048,6514,377,35850.09
2025-01-26,New Customer Acquisition,Email,657.59,12467,482,25,3893.13
2025-04-14,Lookalike Scale,YouTube,2605.11,205152,2136,41,8472.05
